A Gyrodata Directional Survey
Oasis Petroleum
Lease: Kline Federal Well: 5300 41-18 14BX, 8 3/4" Case, and 6" Hole
Location: Nabors #486 , McKenzie County, North Dakota
Job Number: RD0814M181

MEASURED INCL AZIMUTH DOGLEG VERTICAL CLOSURE HORIZONTAL
DEPTH SEVERITY DEPTH DIST. AZIMUTH COORDINATES
feet deg. deg. deg./ feet feet deg. feet
100 ft.
3511.00 0.35 10.82 0.36 3510.79 1.6 137.3 1.20 S 1ILE
3605.00 0.92 143.45 1.26 3604.79 2.2 133.4 1.53 S 1.61 E
3700.00 0.70 153,20 0.27 3699.78 3.5 138.8 2.66 S 2.33 E
3794.00 1,05 143,01 0.41 3793.77 5.0 141.2 3.86 S 3.11 E
3888.00 0.97 154.43 0.23 3887.76 6.6 143.0 5.27 S 3.97 E
3982.00 0.57 197.85 0.72 3981.75 7.7 147.0 6.43 S 417 E
4077.00 0.57 215.52 0.18 4076.74 8.2 152.7 7.26 § 3.75 E
4170.00 0.75 221.49 0.21 4169.74 8.7 159.2 8.10 S$ 3.08 E
4264.00 0.53 212.88 0.25 4263.73 9.2 164.7 8.92 § 2.43 E
4360.00 0.66 219.82 0.15 4359.73 9.9 169.3 9.72 S 1.84 E
4455.00 0.40 229.58 0.29 4454.72 10.4 173.2 10.35 S 1,24 E
4549.00 0.66 216.75 0.30 4548.72 11.0 176.6 11.00 S$ 0.66 E
4644.00 0.44 172.01 0.49 4643.71 1.8 178.1 11.80 S 0.39 E
4739.00 0.35 211.56 0.30 4738.71. 124 178.7 12.41 S$ 0.28 E
4834.00 0.13 102.93 0.43 4833.71 12.7 178.9 12.68 S 0.24 EB
4929.00 0.22 170.78 0.22 4928.71 12.9 1783 12.88 § 0.37 E
5023.00 0.26 211.91 0.18 5022.71 13.2 178.8 13.24 § 0.29 E
5118.00 0.79 153.03 0.73 5117.71 14.0 178.1 14.01 S$ 047 B
§213.00 0.88 146.61 0.14 5212.70 15.2 175.6 15.20 $ LITE
5307.00 0.84 139,05 0.13 5306.68 16.5 173.0 16.33 $ 2.02 E
5402.00 0.97 125.78 0.26 5401.67 17.6 169.8 1732 $ 3.13 BE

5496.00 0.62 103.28 0.49 5495.66 18.4 166.6 17.90 $ 427 E
