"id","well_id","well_status","well_type","closest_city","oil_barrels","gas_mcf"
"1","1","Plugged and Abandoned Well Type Oil & Gas","Oil & Gas","Williston","64","0"
"2","2","Active Well Type Oil & Gas","Oil & Gas","Williston","608","884"
"3","4","Active Well Type Oil & Gas","Oil & Gas","Williston","339","609"
"4","6","Active Well Type Oil & Gas","Oil & Gas","Williston","1800","4200"
"5","8","Active Well Type Oil & Gas","Oil & Gas","Williston","787","1000"
"6","9","Active Well Type Oil & Gas","Oil & Gas","Williston","592","872"
"7","10","Inactive","N/A","N/A","0","0"
"8","11","Active Well Type Oil & Gas","Oil & Gas","Williston","1400","1000"
"9","12","Active Well Type Oil & Gas","Oil & Gas","Williston","520","794"
"10","13","Active Well Type Oil & Gas","Oil & Gas","Williston","711","3900"
"11","14","Active","N/A","N/A","0","0"
"12","15","Plugged and Abandoned","N/A","N/A","0","0"
"13","16","Active Well Type Oil & Gas","Oil & Gas","Williston","967","4100"
"14","17","Active Well Type Oil & Gas","Oil & Gas","Williston","518","518"
"15","21","Active Well Type Oil & Gas","Oil & Gas","Williston","511","1700"
"16","27","Active Well Type Oil & Gas","Oil & Gas","Williston","852","2700"
"17","28","Inactive","N/A","N/A","0","0"
"18","29","Active Well Type Oil & Gas","Oil & Gas","Williston","387","666"
"19","31","Active Well Type Oil & Gas","Oil & Gas","Williston","565","843"
"20","32","Active Well Type Oil & Gas","Oil & Gas","Williston","229","493"
"21","35","Active Well Type Oil & Gas","Oil & Gas","Williston","717","2500"
"22","36","Active Well Type Oil & Gas","Oil & Gas","Williston","1000","211"
"23","39","Active Well Type Oil & Gas","Oil & Gas","Williston","537","537"
"24","40","N/A","N/A","N/A","0","0"
"25","41","Abandoned","N/A","N/A","0","0"
